id,region,market,team,owner,type,product,hero,title,start_date,end_date,status,budget,channel,issue,risk_level,updated_at,updated_by
P-0001,국내,올리브영,국내마케팅,김지은,신제품출시,헬로키티 컬렉션,Y,헬로키티 립/아이 컬렉션 런칭,2026-04-10,2026-05-30,진행중,1.5억,올리브영,초도 물량 부족 우려,중,,
P-0002,미주,미국-아마존,미주팀,Sarah K,신제품출시,헬로키티 컬렉션,Y,Hello Kitty Collection US Launch,2026-04-20,2026-06-15,확정,$120K,Amazon,통관 지연 가능성,상,,
P-0003,중화권,중국-티몰,중화권팀,王伟,프로모션,래스팅 글로우 스틱,Y,618 티몰 메가세일,2026-06-01,2026-06-20,확정,2억,Tmall,KOL 섭외 지연,중,,
P-0004,국내,홈쇼핑,국내마케팅,박서준,프로모션,래스팅 글로우 스틱,Y,홈쇼핑 단독 기획전,2026-06-08,2026-06-25,기획,0.8억,홈쇼핑,,,,
P-0005,일본,일본-큐텐,일본팀,佐藤,캠페인,누드 스탠다드,N,RE:NUDE 큐텐 메가와리,2026-05-01,2026-05-31,진행중,¥8M,Qoo10,,,,
P-0006,미주,미국-세포라,미주팀,Sarah K,캠페인,볼드 블러 틴트,Y,Bold Blur Tint Sephora 입점,2026-07-01,2026-08-31,기획,$200K,Sephora,FDA 성분 검토 진행중,상,,
P-0007,중화권,중국-더우인,중화권팀,李娜,캠페인,볼드 블러 틴트,Y,더우인 라이브 커머스,2026-07-15,2026-08-15,기획,1.2억,Douyin,,,,
P-0008,국내,네이버,국내마케팅,김지은,프로모션,글로우 쿠션,N,네이버 브랜드데이,2026-09-10,2026-09-12,기획,0.4억,네이버,,,,
P-0009,일본,일본-앳코스메,일본팀,佐藤,프로모션,래스팅 글로우 스틱,Y,앳코스메 신상 푸시,2026-06-10,2026-06-30,기획,¥5M,@cosme,재고 배분 협의 필요,중,,
P-0010,중화권,중국-위챗,중화권팀,陈明,신제품출시,글로우 쿠션,Y,글로우 쿠션 위챗 런칭,2026-09-01,2026-10-15,기획,1억,WeChat,현지 성분 인증 진행중,상,,
P-0011,국내,올리브영,국내마케팅,이수민,캠페인,볼드 블러 틴트,Y,볼드 블러 틴트 올리브영 출시,2026-07-05,2026-08-20,기획,1억,올리브영,,,,
P-0012,일본,일본-라쿠텐,일본팀,田中,채널행사,헬로키티 컬렉션,Y,라쿠텐 슈퍼세일 헬로키티,2026-06-04,2026-06-11,확정,¥6M,Rakuten,,,,
